,...1,Participants,Grupo,University,Genre,Edad,Semester,Program,Specialization,Credibility,Coordination,Visual,Aural,Reader/Writer,Kinesthetic,Instrumental,Stra_Privilege,Stra_Appropriation,Expansive,Trend,VARK_Cs_Trend,Dc_Trend,Col_Trend
38,38,38,G13,U1E,2,39,7,B.D.Early-Childhood-Pedagogy,-2.97777777777778,-0.595854922279793,-0.994764397905759,0.185606060606061,0.374468085106383,-0.425619834710744,0.00952380952380932,-0.888888888888889,0.0771604938271605,-0.363636363636364,-0.591836734693878,Aural,A/V/RW,Stra_Privilege,Credibility
39,39,39,G13,U2C,1,23,7,B.D.Architecture,-2.08888888888889,-1.37305699481865,-0.994764397905759,0.564393939393939,-0.476595744680851,-0.838842975206612,-1.8952380952381,0.0370370370370369,0.694444444444444,1.19480519480519,-0.183673469387755,Visual,A/V/RW,Stra_Appropriation,Coordination
40,40,40,G13,U1E,2,27,6,B.D.Social-Sciences,-0.977777777777777,-0.854922279792746,-2.30366492146597,0.185606060606061,-0.476595744680851,1.6404958677686,0.485714285714285,1.33333333333333,0.231481481481481,0.675324675324675,-0.387755102040816,Reader/Writer,A/V/RW,Instrumental,Credibility
41,41,41,G14,U2C,1,25,7,B.D.Architecture,-0.533333333333333,0.958549222797927,0.837696335078534,0.185606060606061,-0.0510638297872341,0.814049586776859,-1.8952380952381,0.407407407407407,0.0771604938271605,-1.4025974025974,1.04081632653061,Reader/Writer,RW/A/K,Expansive,Credibility
42,42,42,G14,U1E,2,35,6,B.D.Social-Sciences,0.8,0.181347150259067,-0.209424083769634,-0.571969696969697,-0.0510638297872341,-0.838842975206612,-0.942857142857143,-0.518518518518519,0.540123456790123,-0.363636363636364,0.63265306122449,Aural,RW/A/K,Expansive,Specialization
43,43,43,G14,U1E,1,29,7,B.D.Social-Sciences,-0.533333333333333,0.181347150259067,0.0523560209424082,-0.950757575757576,-1.32765957446809,-0.425619834710744,0.485714285714285,1.33333333333333,1.31172839506173,1.71428571428571,1.6530612244898,Kinesthetic,RW/A/K,Stra_Appropriation,Credibility
44,44,44,G15,U1E,1,30,7,B.D.Social-Sciences,0.577777777777778,1.47668393782383,0.31413612565445,0.943181818181818,0.374468085106383,0.400826446280992,0.00952380952380932,-1.25925925925926,-2.08333333333333,-1.66233766233766,-1.20408163265306,Visual,V/K/A,Expansive,Credibility
45,45,45,G15,U1E,2,32,7,B.D.Social-Sciences,1.02222222222222,0.181347150259067,0.31413612565445,-0.193181818181818,-0.476595744680851,0.400826446280992,0.961904761904762,-0.333333333333333,-1.00308641975309,-0.883116883116883,-0.387755102040816,Kinesthetic,V/K/A,Instrumental,Specialization
46,46,46,G15,U1E,2,32,7,B.D.Social-Sciences,0.8,-0.0777202072538862,0.837696335078534,-0.193181818181818,0.8,-0.425619834710744,0.00952380952380932,-0.148148148148148,-1.00308641975309,-0.883116883116883,-1,Aural,V/K/A,Instrumental,Coordination
47,47,47,G16,U2C,1,24,7,B.D.Architecture,-0.311111111111111,-0.33678756476684,-0.471204188481676,-0.571969696969697,-1.32765957446809,-0.425619834710744,0.00952380952380932,0.222222222222222,0.385802469135802,1.71428571428571,0.428571428571428,Kinesthetic,K/A,Stra_Appropriation,Specialization
